url_path,views_total,views_unique
/jens62/geberit-aquaclean,124,49
/jens62/geberit-aquaclean/issues/19,36,7
/jens62/geberit-aquaclean/issues,33,7
/jens62/geberit-aquaclean/issues/17,26,5
/jens62/geberit-aquaclean/tree/main,19,3
/jens62/geberit-aquaclean/blob/main/docs/hacs-integration.md,15,14
/jens62/geberit-aquaclean/blob/main/docs/hacs-user-is-sitting.png,14,14
/jens62/geberit-aquaclean/tree/main/aquaclean_console_app,12,3
/jens62/geberit-aquaclean/blob/main/docs/esphome-troubleshooting.md,11,2
/jens62/geberit-aquaclean/stargazers,10,1
